Date,Open,High,Low,Close,Volume
2014-07-22,191.59,194.72,191.56,194.09,4853041
2014-07-23,194.11,194.9,193.57,193.63,3584465
2014-07-24,193.95,195.62,193.75,195.24,3612656
2014-07-25,195.3,195.9,193.7901,194.4,3376455
2014-07-28,194.3,196.4,193.65,195.78,3242443
2014-07-29,195.3,195.89,194.54,194.57,3264409
2014-07-30,195.2,195.99,192.9,194,3945601
2014-07-31,192.84,194.29,191.54,191.67,4208005
2014-08-01,190.5,191.5,188.86,189.15,5181080
2014-08-04,189.35,189.95,188.6,189.64,2125935
2014-08-05,188.75,189.196,186.44,187.1,3307945
2014-08-06,185.36,186.88,184.44,185.97,3847046
2014-08-07,186.64,186.68,183.58,184.3,2708935
2014-08-08,184.4,186.67,183.58,186.63,2781936
2014-08-11,187.81,188.36,186.28,187.47,2527208
2014-08-12,187.45,188.69,186.81,187.34,1858635
2014-08-13,188,188.48,187.37,187.95,1797016
2014-08-14,187.57,188.17,186.93,187.88,1929581
2014-08-15,187.85,188.88,186.79,187.38,2815822
2014-08-18,188.1,189.81,187.76,189.36,2420398
2014-08-19,190.04,190.25,189.36,190.07,2040117
2014-08-20,189.86,190.39,189.25,190.1,2177702
2014-08-21,190.9,192.07,190.5,191.23,2497985
2014-08-22,190.77,191.88,190.29,190.41,1940434
2014-08-25,191.39,191.81,190.71,191.16,1726100
2014-08-26,191.02,193.53,191.02,192.99,3175399
2014-08-27,193.03,194.133,191.56,192.25,2190285
2014-08-28,191.47,192.2986,190.66,192,1503582
2014-08-29,192.28,192.75,191.14,192.3,2911097
2014-09-02,192.68,192.97,190.93,191.56,2679659
2014-09-03,192.39,192.95,191.86,191.95,1824378
2014-09-04,191.69,192.69,190.06,190.68,2868754
2014-09-05,190.53,191.75,190.09,191.2,2261215
2014-09-08,190.75,191.2,189.51,190.14,2525626
2014-09-09,190.34,190.74,189.78,189.99,2403631
2014-09-10,190.12,192.15,190.1,191.54,2765324
2014-09-11,191.08,192.78,190.12,191.72,2299390
2014-09-12,191.47,191.6,190.57,191.28,2900967
2014-09-15,191.42,192.49,190.58,191.81,2457803
2014-09-16,191.25,193.57,190.82,192.96,2561528
2014-09-17,193.22,193.64,192.3,192.8,3214117
2014-09-18,192.79,194.13,192.71,193.75,2963446
2014-09-19,194.54,195,193.19,194,8854514
2014-09-22,193.72,194.14,192.63,193.11,3317962
2014-09-23,192.75,193.07,191.52,191.62,3301797
2014-09-24,191,192.45,189.88,192.31,3082594
2014-09-25,192.05,192.5,188.97,189.01,4158816
2014-09-26,188.93,190.33,188.61,190.06,2494024
2014-09-29,188.51,189.96,188.12,189.64,2344723
2014-09-30,189.64,190.85,189.15,189.83,2932556
2014-10-01,189.91,190.4,186.79,187.17,3723192
2014-10-02,187.66,187.78,186.24,186.91,2283619
2014-10-03,188.11,189.37,187.56,188.67,3071521
2014-10-06,189.69,190.89,188.71,189.04,2100191
2014-10-07,187.77,188.12,185.54,185.71,2994065
2014-10-08,185.97,189.6,185.61,189.36,2985329
2014-10-09,189.12,189.5,186.09,186.42,2625609
2014-10-10,185.86,187.74,185.1,185.93,5090345
2014-10-13,185.49,186.65,183.42,183.52,3599924
2014-10-14,184.89,185.72,183.59,183.8,3924974
2014-10-15,182.46,183.79,178.7488,181.75,6897656
2014-10-16,179.8,181.48,178.69,179.84,5578683
2014-10-17,181.24,182.84,180.22,182.05,4354442
2014-10-20,166.845,170.331,166.69,169.1,23416511
2014-10-21,166.4,166.68,161.68,163.23,20953605
2014-10-22,162.41,165.41,161.1,161.79,11091424
2014-10-23,162.12,162.83,161.54,162.18,7600270
2014-10-24,162.08,162.44,161.45,162.08,6652379
2014-10-27,162,162.91,161.81,161.87,4989437
2014-10-28,162,163.6,161.8,163.6,7896863
2014-10-29,164.33,164.615,162.76,163.46,4741689
2014-10-30,163.5,164.62,163.02,164.35,3895979
2014-10-31,165.48,165.59,163.6165,164.4,5818375
2014-11-03,164.25,164.54,163.375,164.36,4690274
2014-11-04,164.34,164.36,162.24,162.65,4247079
2014-11-05,163.13,163.54,161.56,161.82,4104747
2014-11-06,161.28,161.53,160.05,161.46,4067641
2014-11-07,161.42,162.2069,160.85,162.07,3494803
2014-11-10,161.9,164.47,161.61,163.49,4958236
2014-11-11,163.7,163.9,162.6,163.3,3535694
2014-11-12,162.28,163,161.76,161.92,3378229
2014-11-13,162,162.8,161.8,162.79,3239726
2014-11-14,162.1,164.49,161.69,164.16,4978415
2014-11-17,164.16,164.97,163.72,164.16,4798933
2014-11-18,164.73,164.75,161.89,161.89,5412495
2014-11-19,162.05,162.1,160.96,161.43,3802631
2014-11-20,160.95,161.5,159.8,160.64,4183102
2014-11-21,161.83,161.95,160.75,160.92,4076875
2014-11-24,161.54,163.86,161.06,162.15,6619032
2014-11-25,162.65,163.5,161.56,161.76,4062378
2014-11-26,161.93,162.1,161.01,161.95,3967223
2014-11-28,162.75,163.37,161.44,162.17,2405512
2014-12-01,161.64,163.315,161.35,161.54,4168384
2014-12-02,162.47,162.73,161.64,162.67,3465747
2014-12-03,162.47,164.52,162,164.52,6434994
2014-12-04,164.01,164.5,163.01,164.05,3862916
2014-12-05,163.61,164.5,162.91,163.27,3013500
2014-12-08,163.29,163.29,161.54,161.86,2851383
2014-12-09,160.84,163.02,160.8,162.99,3865905
2014-12-10,163.01,163.33,160.03,160.51,4082384
2014-12-11,160.82,162.93,160.52,161.07,3989571
2014-12-12,160.25,160.5,155.33,155.38,8611748
2014-12-15,155.93,156.739,152.84,153.06,6500311
2014-12-16,152.03,154.89,150.5,151.41,6782593
2014-12-17,151.52,153.308,151.11,151.93,5139465
2014-12-18,153.58,157.68,153.3,157.68,7302356
2014-12-19,157.49,160.41,157.49,158.51,8864850
2014-12-22,158.33,161.91,158.33,161.44,4682509
2014-12-23,162.23,162.9,161.61,162.24,4044220
2014-12-24,162.88,162.99,161.61,161.82,1869977
2014-12-26,162.27,163.09,162.01,162.34,1912310
2014-12-29,162,162.34,159.45,160.51,3331833
2014-12-30,160.02,160.82,159.79,160.05,2829904
2014-12-31,160.41,161.5,160.38,160.44,4011909
2015-01-02,161.31,163.31,161,162.06,5525466
2015-01-05,161.27,161.27,159.19,159.51,4880389
2015-01-06,159.67,159.96,155.17,156.07,6146712
2015-01-07,157.2,157.2,154.03,155.05,4701839
2015-01-08,156.24,159.044,155.55,158.42,4241113
2015-01-09,158.42,160.34,157.25,159.11,4488347
2015-01-12,159,159.25,155.76,156.44,4187638
2015-01-13,157.26,159.97,155.68,156.81,4377510
2015-01-14,154.86,156.49,153.74,155.8,4690294
2015-01-15,156.69,156.97,154.16,154.57,4251723
2015-01-16,153.82,157.63,153.82,157.14,5756041
2015-01-20,156.7,157.33,154.03,156.95,8392773
2015-01-21,153.03,154.5,151.07,152.09,11897123
2015-01-22,151.94,155.72,151.76,155.39,6120113
2015-01-23,155.03,157.6,154.89,155.87,4834847
2015-01-26,158.26,159.46,155.77,156.36,7888143
2015-01-27,154.94,155.09,152.59,153.67,5659568
2015-01-28,154,154.53,151.55,151.55,4495933
2015-01-29,151.38,155.58,149.52,155.48,8320847
2015-01-30,153.91,155.24,153.04,153.31,6563570
2015-02-02,154,154.66,151.51,154.66,4712247
2015-02-03,154.75,158.6,154.75,158.47,5539406
2015-02-04,157.21,158.71,156.7,156.96,3678459
2015-02-05,157.29,158.59,157.1501,157.91,5253637
2015-02-06,157.34,158.08,156.23,156.72,3256452
2015-02-09,156,157.5,155.4,155.75,3057726
2015-02-10,156.74,158.56,155.08,158.56,4440614
2015-02-11,157.76,159.09,157.17,158.2,3626658
2015-02-12,158.72,159.5,158.09,158.52,3333063
2015-02-13,158.78,160.8,158.64,160.4,3706919
2015-02-17,159.75,161.41,159.73,160.96,2894508
2015-02-18,161.86,162.47,160.64,162.19,4358385
2015-02-19,162.05,164.49,161.44,163.89,3504380
2015-02-20,163.64,164.34,162.09,163.65,3352982
2015-02-23,164.23,164.4,162.5,162.91,2714434
2015-02-24,162.49,164.99,161.51,164.83,4701626
2015-02-25,164.94,164.96,162.58,162.81,4004559
2015-02-26,163.74,164.14,159.77,160.87,7110772
2015-02-27,161.05,162.29,160.16,161.94,4410037
2015-03-02,161.68,161.89,159.8101,160.48,5917862
2015-03-03,160.27,161.75,160,161.03,3234401
2015-03-04,160.54,160.56,158.72,159.42,3633635
2015-03-05,159.86,161.5,159.703,161.18,3791660
2015-03-06,160.19,161.44,158.06,158.5,4540174
2015-03-09,158.2,161.15,158.2,160.77,5193874
2015-03-10,159.6,160.23,157.81,157.81,4600968
2015-03-11,158.57,159.14,155.935,156.8,5709890
2015-03-12,156.27,158.72,156.27,157.98,4567346
2015-03-13,157.46,157.52,153.4,154.28,6064120
2015-03-16,155.05,157.09,154.8,157.08,3749638
2015-03-17,156.2,157.29,155.37,156.96,3311943
2015-03-18,156.85,160.7,155.8,159.81,5738827
2015-03-19,159.7,160.92,158.81,159.81,3878559
2015-03-20,160.95,163,160.35,162.88,9006417
2015-03-23,162.77,165.35,162.73,164.63,5930127
2015-03-24,164.79,164.89,162.9,163,4346145
2015-03-25,163.08,163.08,159.2,159.2,5428930
2015-03-26,159.27,161.25,158.91,160.59,4396024
2015-03-27,160.79,160.9,159.23,160.4,3477923
2015-03-30,161.31,163.6,161.25,162.67,4138018
2015-03-31,161.08,162.33,160.4,160.5,4255368
2015-04-01,160.23,160.62,158.39,159.18,3700791
2015-04-02,159.52,162.54,158.89,160.45,4671578
2015-04-06,159.69,162.8,158.702,162.04,3465682
2015-04-07,161.67,163.84,161.62,162.07,3147975
2015-04-08,161.72,163.55,161.01,161.85,2524323
2015-04-09,161.7,162.47,160.72,162.34,2263490
2015-04-10,162.34,163.33,161.25,162.86,2515703
2015-04-13,162.37,164,162.36,162.38,3868911
2015-04-14,162.42,162.7352,160.79,162.3,2719287
2015-04-15,162.63,164.96,162.5,164.13,3498756
2015-04-16,163.31,163.98,162.54,163.13,3136947
2015-04-17,161.75,161.86,160.03,160.67,4314432
2015-04-20,162.1,166.64,161.9,166.16,9609204
2015-04-21,166.07,167.38,164.05,164.26,9683592
2015-04-22,164.39,166,162.89,165.36,4024789
2015-04-23,165.23,171.91,165.14,170.24,8235607
2015-04-24,170.23,170.85,168.74,169.78,3888439
2015-04-27,170.89,171.49,170.3,170.73,3168575
2015-04-28,170.83,174.69,170.02,173.92,5816654
2015-04-29,173.4,175.1303,172.8,174.4,4518381
2015-04-30,173.77,174.28,170.3,171.29,5062913
2015-05-01,173.2,174,172.42,173.67,3312052
2015-05-04,174.47,176.3,173.7,173.97,4027978
2015-05-05,173.51,174.23,171.96,173.08,3593620
2015-05-06,172.9,174.05,168.86,170.05,3612606
2015-05-07,169.63,171.98,169.04,170.99,2472687
2015-05-08,172.94,173.33,172.24,172.68,3092602
2015-05-11,172.65,172.99,170.86,171.12,2661030
2015-05-12,170.55,171.4899,168.84,170.55,2962412
2015-05-13,171.24,172.74,170.75,172.28,2457521
2015-05-14,173.5,174.4,173.22,174.05,2439070
2015-05-15,173.91,174.41,172.6,173.26,2916579
2015-05-18,173.44,173.49,172.3,173.06,1970630
2015-05-19,172.97,173.75,171.93,173.48,2523002
2015-05-20,173.33,174.44,172.46,173.76,2300693
2015-05-21,173.32,174.14,173.035,173.34,2295596
2015-05-22,173.04,173.39,172.19,172.22,2849692
2015-05-26,172.11,172.12,169.13,170.13,3854170
2015-05-27,171.16,172.48,170.49,172,2764378
2015-05-28,171.45,171.84,170.66,171.71,1731372
2015-05-29,171.35,171.35,169.65,169.65,4091981
2015-06-01,170.21,171.04,169.03,170.18,2985479
2015-06-02,169.66,170.45,168.43,169.65,2571862
2015-06-03,170.5,171.5601,169.63,169.92,2131031
2015-06-04,169.53,170.6,167.93,168.38,3079334
2015-06-05,168.25,168.9103,167.2,167.4,3100505
2015-06-08,167.17,167.28,165.02,165.34,3758726
2015-06-09,165.34,166.02,163.37,165.68,3395901
2015-06-10,166.49,169.39,166.06,168.92,4680545
2015-06-11,169.26,170.44,168.54,168.78,3464013
2015-06-12,168.23,168.3,166.69,166.99,3065085
2015-06-15,165.33,166.44,164.25,166.26,4245657
2015-06-16,166.33,167.4,165.91,166.84,3249842
2015-06-17,167,167.8476,166.1,167.17,2862993
2015-06-18,167.05,168.72,167.05,168.25,3330864
2015-06-19,167.62,168.42,166.77,166.99,7073984
2015-06-22,167.65,168.34,167.2,167.73,2335796
2015-06-23,168.38,169.97,167.573,168.62,3701637
2015-06-24,168.71,168.84,166.8301,166.97,3548093
2015-06-25,167.8,168.13,166.08,166.08,2408885
2015-06-26,166.23,166.8116,165.23,165.46,8945985
2015-06-29,163.92,165.35,162.89,162.97,3314684
2015-06-30,163.99,164,162.12,162.66,3597288
2015-07-01,163.97,165.61,163.6,164.49,3214547
2015-07-02,165.05,165.32,164.42,165.09,2852696
2015-07-06,163.83,165.23,163.52,164.73,3079833
2015-07-07,164.94,165.35,162.2317,165,3549861
2015-07-08,164,164.94,162.68,163.16,2776286
2015-07-09,165.34,165.51,163.7,163.85,4199708
2015-07-10,165.66,167.4,165.515,166.95,4538349
2015-07-13,167.93,169.89,167.52,169.38,4228963
2015-07-14,169.43,169.54,168.24,168.61,3025263
2015-07-15,168.48,169.27,168,168.53,1998004
2015-07-16,169.47,171.09,169.16,171,3529874
2015-07-17,170.33,172.52,170.1,172.51,4356404
2015-07-20,172.79,173.78,172.14,173.22,7377818
2015-07-21,164.34,166.35,162.02,163.07,13752277
2015-07-22,162.73,163.0695,159.7,160.35,7181841
2015-07-23,160.27,162.75,159.83,161.73,5034246
2015-07-24,161.29,161.93,159.41,159.75,3778186
2015-07-27,159,160.18,158.6,159.07,3706240
2015-07-28,159.91,160.19,158.5,160.05,2721040
2015-07-29,160,161.5,159.39,161.09,3378396
2015-07-30,160.5,161.4,159.75,160.96,1994665
2015-07-31,161.4,162.06,160.63,161.99,3580226
2015-08-03,161.7,161.85,157.9,158.71,4615682
2015-08-04,158.4,158.82,156.87,157.6,5260575
2015-08-05,159.1,159.54,157.48,157.9,3472774
2015-08-06,157.13,157.54,156.18,156.32,3004796
2015-08-07,155.89,156.25,154.335,155.12,3794897
2015-08-10,156.77,157.4652,156.12,156.75,4613391
2015-08-11,155.96,155.99,154.86,155.51,3167111
2015-08-12,154.26,156.52,153.95,156.16,3624852
2015-08-13,156.06,156.09,154.3171,155.07,2533378
2015-08-14,155,156.21,154.58,155.75,3226434
2015-08-17,155.2,156.69,154.7,156.31,2249554
2015-08-18,155.51,156.52,155.25,156.01,2018337
2015-08-19,155.15,155.67,153.41,153.94,4206381
2015-08-20,152.74,153.91,152.5,152.66,4011514
2015-08-21,151.5,153.19,148.7,148.85,7362116
2015-08-24,143.47,147.76,142.32,143.47,10189693
2015-08-25,146.94,147.11,140.62,140.96,7073209
2015-08-26,144.09,146.98,142.14,146.7,6221791
2015-08-27,148.5,148.97,145.66,148.54,4976632
2015-08-28,147.75,148.2,147.18,147.98,4076276
2015-08-31,147.38,148.4,146.26,147.89,4093078
2015-09-01,144.91,144.98,141.85,142.68,5272016
2015-09-02,144.74,145.08,143.18,145.05,4252028
2015-09-03,146.05,148.03,145.77,146.78,3603518
2015-09-04,144.57,145.4,143.32,143.7,4201068
2015-09-08,145.86,147.34,145.66,147.23,3933276
2015-09-09,148.74,149.04,144.85,145.05,3407761
2015-09-10,145.85,147.16,144.51,146.2,3461658
2015-09-11,145.91,147.5,145.67,147.37,3115053
2015-09-14,147.37,147.37,145.41,145.65,3226747
2015-09-15,146.6,147.93,145.76,147.53,2717060
2015-09-16,147.84,148.89,147.54,148.41,2799233
2015-09-17,148.1,149.68,147.3,148.14,4002952
2015-09-18,146.05,146.385,143.98,144.51,7975845
2015-09-21,145.39,146.98,144.92,146.48,3825036
2015-09-22,144.62,145.06,143.7699,144.43,3564065
2015-09-23,144.21,144.57,142.75,143.66,2674225
2015-09-24,142.6,145.07,141.95,144.41,3280268
2015-09-25,145.55,146.27,144.53,145.42,3474429
2015-09-28,144.42,145.38,142.47,142.52,4317302
2015-09-29,141.99,142.66,141.1501,142.47,4763509
2015-09-30,143.69,145.71,143.66,144.97,3946168
2015-10-01,145.31,145.67,141.59,143.59,3880887
2015-10-02,141.05,144.59,140.56,144.58,3054428
2015-10-05,145.82,149.8925,145.82,149.04,5131819
2015-10-06,149.06,150.15,148.49,148.78,3018096
2015-10-07,150.04,150.73,148.8565,150.09,2989943
2015-10-08,149.69,153.019,149.29,152.28,4794357
2015-10-09,152.46,153.147,151.27,152.39,3531107
2015-10-12,152.4,152.58,150.85,151.14,3227636
2015-10-13,150.78,150.78,149.18,149.62,3915707
2015-10-14,149.6,150.65,149.02,150.01,3353008
2015-10-15,150.91,151.24,148.58,150.09,3476219
2015-10-16,150.45,151.2,149.26,150.39,3483739
2015-10-19,149.85,149.97,148.38,149.22,7954684
2015-10-20,142.49,142.88,140.27,140.64,16025591
2015-10-21,140.25,142.66,139.3,140.92,7134948
2015-10-22,141.74,145.07,141.62,144.09,5583167
2015-10-23,144.61,145.49,143.7,144.68,5370439
2015-10-26,144.75,145,143.21,143.66,3489428
2015-10-27,143.51,143.83,137.33,137.86,15008527
2015-10-28,137.92,141.23,137.5,140.83,8511376
2015-10-29,140.36,140.82,139.0201,140.55,3710445
2015-10-30,140.44,141.33,139.9,140.08,3983990
2015-11-02,140.5,140.5165,139.57,140.37,3822212
2015-11-03,140.02,142.8,139.9,141.88,4349405
2015-11-04,142.55,142.65,141.3,141.63,3516890
2015-11-05,141.61,142.38,139.63,139.89,5096893
2015-11-06,138.6,139.55,137.87,138.25,4744948
2015-11-09,137.92,138.08,134.88,135.31,8075593
2015-11-10,135.36,135.735,134.12,135.47,4520807
2015-11-11,136.09,136.2,134.5,135.02,3164806
2015-11-12,134.7,134.7,133.01,133.04,4701365
2015-11-13,132.95,133,131.65,131.75,4613817
2015-11-16,131.79,134.09,131.79,133.71,4190827
2015-11-17,134.22,134.82,133.31,133.82,2815142
2015-11-18,134.79,135.91,134.26,135.82,4149181
2015-11-19,136.21,137.7355,136.01,136.74,4753603
2015-11-20,137.37,138.915,137.25,138.5,5176375
2015-11-23,138.53,138.87,137.12,138.46,5137922
2015-11-24,137.65,139.34,137.31,138.6,3407653
2015-11-25,138.37,138.43,137.375,138,3238166
2015-11-27,138,138.81,137.21,138.46,1415840
2015-11-30,138.61,139.9,138.52,139.42,4545587
2015-12-01,139.58,141.4,139.58,141.28,4195119
2015-12-02,140.93,141.21,139.5,139.7,3725363
2015-12-03,140.1,140.73,138.19,138.92,5909588
2015-12-04,138.09,141.02,137.99,140.43,4571608
2015-12-07,140.16,140.41,138.81,139.55,3279376
2015-12-08,138.28,139.06,137.53,138.05,3905155
2015-12-09,137.38,139.84,136.23,136.61,4614993
2015-12-10,137.03,137.85,135.7201,136.78,4222329
2015-12-11,135.23,135.44,133.91,134.57,5333767
2015-12-14,135.31,136.14,134.02,135.93,5143787
2015-12-15,137.4,138.97,137.28,137.79,4238546
2015-12-16,139.12,139.65,137.79,139.29,4345474
2015-12-17,139.35,139.5,136.3075,136.75,4089539
2015-12-18,136.41,136.96,134.27,134.9,10026106
2015-12-21,135.83,135.83,134.02,135.5,5617475
2015-12-22,135.88,138.19,135.65,137.93,4263828
2015-12-23,138.3,139.305,138.11,138.54,5164916
2015-12-24,138.43,138.88,138.11,138.25,1495226
2015-12-28,137.74,138.045,136.54,137.61,3143412
2015-12-29,138.25,140.06,138.2,139.78,3943691
2015-12-30,139.58,140.44,139.22,139.34,2989367
2015-12-31,139.07,139.1,137.57,137.62,3462077
2016-01-04,135.6,135.97,134.24,135.95,5229381
2016-01-05,136.76,136.89,134.8501,135.85,3924793
2016-01-06,134.38,135.58,133.62,135.17,4310939
2016-01-07,133.7,135.02,132.43,132.86,7025760
2016-01-08,133.18,133.816,131.32,131.63,4762706
2016-01-11,131.81,133.82,131.76,133.23,4974436
2016-01-12,133.65,133.78,131.13,132.9,5078678
2016-01-13,133.5,134.2799,131.1,131.17,4700115
2016-01-14,131.93,133.79,131.22,132.91,5709615
2016-01-15,130.01,130.88,128.87,130.03,9008460
2016-01-19,130.11,132.1,128.06,128.11,9979587
2016-01-20,118.46,123.99,118,121.86,16157796
2016-01-21,121.3,125.1,120.5751,122.91,8851641
2016-01-22,124.67,124.74,121.77,122.5,9238362
2016-01-25,122.1,124.23,121.64,122.08,5445956
2016-01-26,122.25,123.61,122.24,122.59,4617777
2016-01-27,122.73,123.37,120.65,120.96,5026367
2016-01-28,121.26,122.83,121.01,122.22,3942537
2016-01-29,123.28,124.79,122.96,124.79,8248087
2016-02-01,124.4,125.29,123.71,124.83,3574884
2016-02-02,123.67,124.14,122.64,122.94,3287318
2016-02-03,123.99,125.4499,122.29,124.72,6223534
2016-02-04,125.08,128.5,125,127.65,5266450
2016-02-05,127.22,128.64,125.85,128.57,7177706
2016-02-08,126,127.51,124.13,126.98,7364043
2016-02-09,126.12,126.93,123.77,124.07,5957204
2016-02-10,125,125.29,119.84,120.19,6469133
2016-02-11,118.78,119.66,116.901,117.85,7307632
2016-02-12,119.26,121.05,118.35,121.04,4936514
2016-02-16,121.83,123.09,121.34,122.74,4061382
2016-02-17,123.71,126.57,123.25,126.1,4820982
2016-02-18,130,134,129.75,132.45,9951644
2016-02-19,132.36,133.65,130.84,133.08,5125276
2016-02-22,133.84,134.31,132.41,133.77,4457444
2016-02-23,133.14,133.41,132.01,132.4,3439731
2016-02-24,131.55,133.49,129.68,132.8,4122624
2016-02-25,133.29,134.51,130.88,134.5,4358305
2016-02-26,134.51,134.92,131.95,132.03,4386249
2016-02-29,132,133.36,130.9,131.03,4427994
2016-03-01,132.24,134.64,132.03,134.37,3788514
2016-03-02,133.7,137.44,133.22,136.3,5217230
2016-03-03,137.22,137.9602,136.07,137.8,5156429
2016-03-04,137.535,139.42,137.02,137.8,3968423
2016-03-07,137.28,140.51,136.8718,140.15,5170975
2016-03-08,139.71,140.35,137.42,139.07,5579131
2016-03-09,139.31,142.17,139.23,140.41,4406481
2016-03-10,141.24,141.47,138.09,140.19,4020554
2016-03-11,141.73,142.9236,140.51,142.36,4421948
2016-03-14,142.01,143.19,141.04,142.78,4048842
2016-03-15,141.74,143.33,141.54,142.96,3707538
2016-03-16,142.62,144.88,142.11,144.79,4221939
2016-03-17,144.78,147.32,144.45,147.04,5821643
2016-03-18,147.4,147.51,145.51,147.09,12089716
2016-03-21,147.3,148.71,146.7201,148.63,3721648
2016-03-22,148.06,149.28,147.84,148.1,4081925
2016-03-23,148,148.03,145.13,145.4,4764221
2016-03-24,144.98,148.22,144.49,147.95,5044535
2016-03-28,147.75,148.65,147.23,148.4,3265084
2016-03-29,147.59,149.76,147.5,149.33,3138545
2016-03-30,149.95,150.41,148.32,148.41,3331216
2016-03-31,149.79,153.1,149.36,151.45,6780567
2016-04-01,150.51,152.96,150.25,152.52,3925531
2016-04-04,152.34,153.52,151.91,152.07,3931222
2016-04-05,151.43,151.6,149.65,150,3337012
2016-04-06,149.9,150.15,147.81,150.02,4194606
2016-04-07,149.07,149.6,148,148.25,3662968
2016-04-08,149.06,149.99,148.12,149.35,3293822
2016-04-11,150.26,151.95,149.22,149.25,3846128
2016-04-12,149.61,150.11,148.58,149.63,3595750
2016-04-13,150.75,151.23,149.63,151.23,3168392
2016-04-14,151.5,152.76,150.38,151.16,3176500
2016-04-15,151.04,152.1,150.96,151.72,3657576
2016-04-18,151.75,153.14,151.49,152.53,6581705
2016-04-19,146.47,146.95,142.61,144,13190162
2016-04-20,144.24,147.2,144,146.11,6754264
2016-04-21,146.58,150.12,146.46,149.3,6017675
2016-04-22,149.44,151,147.5,148.5,5191902
2016-04-25,148.16,148.9,147.11,148.81,2848935
2016-04-26,148.65,149.79,147.9,149.08,2979800
2016-04-27,149.35,150.78,148.97,150.47,3111190
2016-04-28,149.75,150.18,146.725,147.07,3791509
2016-04-29,146.49,147.34,144.191,145.94,4225790
2016-05-02,146.56,147,144.43,145.27,3502443
2016-05-03,144.65,144.9,142.9,144.13,3584261
2016-05-04,143.36,145,143.31,144.25,2577086
2016-05-05,145.95,147.3,145.45,146.47,6501228
2016-05-06,144.86,147.97,144.47,147.29,4895811
2016-05-09,147.7,148.2,147.01,147.34,4302433
2016-05-10,148.24,150.04,147.74,149.97,3992651
2016-05-11,149.71,151.09,148.74,148.95,3093008
2016-05-12,149.21,149.39,147.11,148.84,3249232
2016-05-13,148.79,149.86,147.42,147.72,2398002
2016-05-16,147.65,149.99,147.44,149.46,3069126
2016-05-17,149.21,149.5,147.29,148,3490574
2016-05-18,147.99,148.52,146.36,147.34,2491086
2016-05-19,146.48,146.93,143.955,144.93,3685595
2016-05-20,145.71,147.51,145.55,147.25,3671462
2016-05-23,147.61,147.95,146.66,146.77,2103786
2016-05-24,146.88,148.75,146.88,148.31,2929257
2016-05-25,148.93,152.09,148.5001,151.69,4358039
2016-05-26,151.55,152.51,151.05,152.44,3062943
2016-05-27,152.35,152.93,152.15,152.84,2457112
2016-05-31,152.56,153.81,152.27,153.74,5836645
2016-06-01,153,153.27,151.54,152.51,2663419
2016-06-02,152.59,153.5,152.12,153.5,2642601
2016-06-03,152.4,153.04,151.7,152.89,2328256
2016-06-06,153.09,153.95,152.34,152.73,2378662
2016-06-07,153.31,153.93,152.66,153.33,4464985
2016-06-08,153.53,154.09,153.04,154,2935036
2016-06-09,152.92,153.76,152.73,153.42,2021796
2016-06-10,152.79,153.3299,151.86,152.37,3120563
2016-06-13,151.63,152.5,150.28,151.28,3610407
2016-06-14,151.28,151.79,150.4,151.06,2865833
2016-06-15,151.46,151.7925,150.6,150.68,2260406
2016-06-16,150.19,151.295,149,151.06,2449064
2016-06-17,150.96,152.72,150.6044,151.99,4663870
2016-06-20,152.6,154.67,152.52,153.61,3572102
2016-06-21,154.16,154.5689,153.69,154.05,2760344
2016-06-22,153.75,154.71,152.27,152.92,2833664
2016-06-23,153.45,155.48,152.6,155.35,3969369
2016-06-24,149.97,150.61,146.18,146.59,9082793
2016-06-27,146.18,146.6,142.5,143.5,5166665
2016-06-28,144.78,145.73,144.22,145.7,3997694
2016-06-29,146.5,148.48,146.45,148.46,3367736
2016-06-30,148.86,151.91,148.67,151.78,3967126
2016-07-01,152.19,152.97,151.4,152.35,2658280
2016-07-05,151.19,152,150.76,151.68,2465240
2016-07-06,151.85,152.41,149.92,152.37,2569393
2016-07-07,152.75,153.6891,151.89,152.6,2138421
2016-07-08,154,154.6,153.08,154.46,3040593
2016-07-11,154.6,156.04,154.5,155.33,2833712
2016-07-12,156,157.12,155.52,157.04,3843793
2016-07-13,157.75,158.34,157.06,158.02,2746439
2016-07-14,158.81,161.4,158.58,160.28,4637644
2016-07-15,159.9,159.98,158.5,159.78,4476810
2016-07-18,159.3,160.75,158.73,159.86,6729685
2016-07-19,161.78,162.14,157.89,159.58,7120017
2016-07-20,159.97,161.71,159.6,161.36,4376286
2016-07-21,160.75,161.85,159.89,160.45,4048975
2016-07-22,160.78,162.17,160.479,162.07,2520077
2016-07-25,162,162.88,161.75,162.65,2804578
2016-07-26,162.65,163.6,161.37,162.12,2894559
2016-07-27,162.12,162.57,161.18,161.83,2162680
2016-07-28,161.38,161.81,160.71,161.37,2340369
2016-07-29,161.36,161.67,160.03,160.62,3547546
2016-08-01,160.65,161.65,159.84,161.45,2823588
2016-08-02,161.27,161.4499,160.36,160.58,3080899
2016-08-03,160.13,160.86,159.8,160.67,2861659
2016-08-04,160.86,161.7,160.12,161.55,2489068
2016-08-05,162,163.51,161.57,163.5,3812370
2016-08-08,162.73,163.27,161.58,162.04,3039306
2016-08-09,162.22,162.772,161.645,161.77,2737530
2016-08-10,162.19,162.66,161.955,162.08,2466675
2016-08-11,162.25,164.95,162.18,163.53,8768585
